id;jour;heure_debut;heure_fin
1;LUNDI;2024-12-08T07:45:10;2024-12-08T01:20:31
2;MERCREDI;2024-12-08T00:19:18;2024-12-08T07:36:46
3;JEUDI;2024-12-07T13:07:20;2024-12-07T17:08:45
4;VENDREDI;2024-12-08T02:40:18;2024-12-07T19:08:55
5;JEUDI;2024-12-08T08:34:28;2024-12-07T18:56:15
6;JEUDI;2024-12-07T18:18:34;2024-12-07T18:55:43
7;JEUDI;2024-12-07T17:32:28;2024-12-07T12:53:09
8;MERCREDI;2024-12-07T23:31:32;2024-12-08T01:41:42
9;SAMEDI;2024-12-08T00:37:11;2024-12-07T21:27:07
10;LUNDI;2024-12-07T20:41:54;2024-12-08T07:32:01
